,2017rank,City,State[c],2017estimate,2010 Census,Change,2016 land area(sq m),2016 land area(sq km),2016 population density(per sq mi),2016 population density(per sq km),Location,City_urls,Elevation,Timezone
1,1,New York City,New York,8398748,8175133,+2.74%,301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2",40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W,https://en.wikipedia.org//wiki/New_York_City,33 ft (10 m),UTC−05:00 (EST)
2,2,Los Angeles,California,3990456,3792621,+5.22%,468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2",34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W,https://en.wikipedia.org//wiki/Los_Angeles,305 ft (93 m),UTC−08:00 (Pacific)
3,3,Chicago,Illinois,2705994,2695598,+0.39%,227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2",41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W,https://en.wikipedia.org//wiki/Chicago,594 ft (181 m),UTC−06:00 (Central)
4,4,Houston,Texas,2325502,2100263,+10.72%,637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2",29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W,https://en.wikipedia.org//wiki/Houston,80 ft (32 m),UTC−6 (CST)
5,5,Phoenix,Arizona,1660272,1445632,+14.85%,517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2",33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W,"https://en.wikipedia.org//wiki/Phoenix,_Arizona","1,086 ft (331 m)",UTC−7 (MST (no DST))
6,6,Philadelphia,Pennsylvania,1584138,1526006,+3.81%,134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2",40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W,https://en.wikipedia.org//wiki/Philadelphia,39 ft (12 m),UTC-5 (EST)
7,7,San Antonio,Texas,1532233,1327407,+15.43%,461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2",29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W,https://en.wikipedia.org//wiki/San_Antonio,650 ft (198 m),UTC−6 (CST)
8,8,San Diego,California,1425976,1307402,+9.07%,325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2",32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W,https://en.wikipedia.org//wiki/San_Diego,62 ft (19 m),UTC−8 (Pacific)
9,9,Dallas,Texas,1345047,1197816,+12.29%,340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2",32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W,https://en.wikipedia.org//wiki/Dallas,430 ft (131 m),UTC−6 (Central)
10,10,San Jose,California,1030119,945942,+8.90%,177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2",37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W,"https://en.wikipedia.org//wiki/San_Jose,_California",82 ft (25 m),UTC−8 (Pacific Time Zone)
11,11,Austin,Texas,964254,790390,+22.00%,312.7 sq mi,809.9 km2,"3,031/sq mi","1,170/km2",30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W,"https://en.wikipedia.org//wiki/Austin,_Texas","289 - 1,330 ft (88 - 405 m)",UTC−6 (CST)
12,12,Jacksonville,Florida,903889,821784,+9.99%,747.4 sq mi,"1,935.8 km2","1,178/sq mi",455/km2,30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W,"https://en.wikipedia.org//wiki/Jacksonville,_Florida",16 ft (5 m),UTC−5 (Eastern (EST))
13,13,Fort Worth,Texas,895008,741206,+20.75%,342.9 sq mi,888.1 km2,"2,491/sq mi",962/km2,32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W,"https://en.wikipedia.org//wiki/Fort_Worth,_Texas",653 ft (216 m),UTC−6 (CST)
14,14,Columbus,Ohio,892533,787033,+13.40%,218.5 sq mi,565.9 km2,"3,936/sq mi","1,520/km2",39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W,"https://en.wikipedia.org//wiki/Columbus,_Ohio",902 ft (275 m),UTC-5 (EST)
15,15,San Francisco,California,883305,805235,+9.70%,46.9 sq mi,121.5 km2,"18,569/sq mi","7,170/km2",37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W,https://en.wikipedia.org//wiki/San_Francisco,52 ft (16 m),UTC−8 (Pacific Time Zone)
16,16,Charlotte,North Carolina,872498,731424,+19.29%,305.4 sq mi,791.0 km2,"2,757/sq mi","1,064/km2",35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W,"https://en.wikipedia.org//wiki/Charlotte,_North_Carolina",761 ft (232 m),UTC−5 (EST)
17,17,Indianapolis,Indiana,867125,820445,+5.69%,361.5 sq mi,936.3 km2,"2,366/sq mi",914/km2,39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W,https://en.wikipedia.org//wiki/Indianapolis,715 ft (218 m),UTC−5 (EST)
18,18,Seattle,Washington,744955,608660,+22.39%,83.8 sq mi,217.0 km2,"8,405/sq mi","3,245/km2",47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W,https://en.wikipedia.org//wiki/Seattle,520 ft (158 m),UTC−8 (PST)
19,19,Denver,Colorado,716492,600158,+19.38%,153.3 sq mi,397.0 km2,"4,521/sq mi","1,746/km2",39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W,https://en.wikipedia.org//wiki/Denver,"5,130–5,690 ft (1,564–1,734 m)",UTC−7 (MST)
20,20,"Washington, D.C.",District of Columbia,702455,601723,+16.74%,61.1 sq mi,158.2 km2,"11,148/sq mi","4,304/km2",38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W,"https://en.wikipedia.org//wiki/Washington,_D.C.",409 ft (125 m),UTC−5 (EST)
21,21,Boston,Massachusetts,694583,617594,+12.47%,48.3 sq mi,125.1 km2,"13,938/sq mi","5,381/km2",42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W,https://en.wikipedia.org//wiki/Boston,141 ft (43 m),UTC−5 (EST)
22,22,El Paso,Texas,682669,649121,+5.17%,256.8 sq mi,665.1 km2,"2,660/sq mi","1,030/km2",31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W,"https://en.wikipedia.org//wiki/El_Paso,_Texas","3,740 ft (1,140 m)",UTC−7 (MST)
23,23,Detroit,Michigan,672662,713777,−5.76%,138.8 sq mi,359.5 km2,"4,847/sq mi","1,871/km2",42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W,https://en.wikipedia.org//wiki/Detroit,656 ft (200 m),UTC−5 (EST)
24,24,<i>Nashville</i>,Tennessee,669053,601222,+11.28%,475.9 sq mi,"1,232.6 km2","1,388/sq mi",536/km2,36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W,"https://en.wikipedia.org//wiki/Nashville,_Tennessee",597 ft (182 m),UTC−6 (CST)
25,25,Portland,Oregon,653115,583776,+11.88%,133.5 sq mi,345.8 km2,"4,793/sq mi","1,851/km2",45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W,"https://en.wikipedia.org//wiki/Portland,_Oregon",50 ft (15.2 m),UTC−08:00 (PST)
26,26,Memphis,Tennessee,650618,646889,+0.58%,317.4 sq mi,822.1 km2,"2,056/sq mi",794/km2,35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W,"https://en.wikipedia.org//wiki/Memphis,_Tennessee",337 ft (103 m),UTC−6 (CST)
27,27,Oklahoma City,Oklahoma,649021,579999,+11.90%,606.3 sq mi,"1,570.3 km2","1,053/sq mi",407/km2,35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W,https://en.wikipedia.org//wiki/Oklahoma_City,"1,201 ft (366 m)",UTC−6 (CST)
28,28,Las Vegas,Nevada,644644,583756,+10.43%,134.4 sq mi,348.1 km2,"4,709/sq mi","1,818/km2",36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W,https://en.wikipedia.org//wiki/Las_Vegas,"2,001 ft (610 m)",UTC−8 (PST)
29,29,Louisville,Kentucky,620118,597337,+3.81%,263.5 sq mi,682.5 km2,"2,339/sq mi",903/km2,38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W,"https://en.wikipedia.org//wiki/Louisville,_Kentucky",466 ft (142 m),UTC-5 (EST)
30,30,Baltimore,Maryland,602495,620961,−2.97%,80.9 sq mi,209.5 km2,"7,598/sq mi","2,934/km2",39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W,https://en.wikipedia.org//wiki/Baltimore,0–480 ft (0–150 m),UTC−5 (EST)
31,31,Milwaukee,Wisconsin,592025,594833,−0.47%,96.2 sq mi,249.2 km2,"6,186/sq mi","2,388/km2",43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W,https://en.wikipedia.org//wiki/Milwaukee,617 ft (188 m),UTC−6 (CST)
32,32,Albuquerque,New Mexico,560218,545852,+2.63%,188.2 sq mi,487.4 km2,"2,972/sq mi","1,147/km2",35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W,"https://en.wikipedia.org//wiki/Albuquerque,_New_Mexico","5,312 ft (1,619.1 m)",UTC−7 (MST)
33,33,Tucson,Arizona,545975,520116,+4.97%,230.8 sq mi,597.8 km2,"2,299/sq mi",888/km2,32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W,"https://en.wikipedia.org//wiki/Tucson,_Arizona","2,389 ft (728 m)",UTC−7 (MST (no DST))
34,34,Fresno,California,530093,494665,+7.16%,114.4 sq mi,296.3 km2,"4,563/sq mi","1,762/km2",36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W,"https://en.wikipedia.org//wiki/Fresno,_California",308 ft (94 m),UTC−08:00 (Pacific)
35,35,Mesa,Arizona,508958,439041,+15.92%,137.9 sq mi,357.2 km2,"3,514/sq mi","1,357/km2",33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W,"https://en.wikipedia.org//wiki/Mesa,_Arizona","1,240 ft (377.952 m)",UTC−7 (MST (no DST))
36,36,Sacramento,California,508529,466488,+9.01%,97.9 sq mi,253.6 km2,"5,059/sq mi","1,953/km2",38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W,"https://en.wikipedia.org//wiki/Sacramento,_California",30 ft (9 m),UTC−8 (PST)
37,37,Atlanta,Georgia,498044,420003,+18.58%,133.5 sq mi,345.8 km2,"3,539/sq mi","1,366/km2",33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W,https://en.wikipedia.org//wiki/Atlanta,"738 to 1,050 ft (225 to 320 m)",UTC−5 (EST)
38,38,Kansas City,Missouri,491918,459787,+6.99%,315.0 sq mi,815.8 km2,"1,528/sq mi",590/km2,39°07′30″N 94°33′04″W﻿ / ﻿39.1251°N 94.5510°W,"https://en.wikipedia.org//wiki/Kansas_City,_Missouri",910 ft (277 m),UTC– 06:00 (CST)
39,39,Colorado Springs,Colorado,472688,416427,+13.51%,195.6 sq mi,506.6 km2,"2,378/sq mi",918/km2,38°52′02″N 104°45′39″W﻿ / ﻿38.8673°N 104.7607°W,"https://en.wikipedia.org//wiki/Colorado_Springs,_Colorado","6,035 ft (1,839 m)",UTC−7 (MST)
40,40,Miami,Florida,470914,399457,+17.89%,36.0 sq mi,93.2 km2,"12,599/sq mi","4,865/km2",25°46′31″N 80°12′31″W﻿ / ﻿25.7752°N 80.2086°W,https://en.wikipedia.org//wiki/Miami,6 ft (2 m),UTC−5 (Eastern (EST))
41,41,Raleigh,North Carolina,469298,403892,+16.19%,145.1 sq mi,375.8 km2,"3,163/sq mi","1,221/km2",35°49′50″N 78°38′30″W﻿ / ﻿35.8306°N 78.6418°W,"https://en.wikipedia.org//wiki/Raleigh,_North_Carolina",315 ft (96 m),UTC−05:00 (EST)
42,42,Omaha,Nebraska,468262,408958,+14.50%,133.2 sq mi,345.0 km2,"3,356/sq mi","1,296/km2",41°15′52″N 96°02′42″W﻿ / ﻿41.2644°N 96.0451°W,"https://en.wikipedia.org//wiki/Omaha,_Nebraska","1,090 ft (332 m)",UTC−06:00 (CST)
43,43,Long Beach,California,467354,462257,+1.10%,50.3 sq mi,130.3 km2,"9,347/sq mi","3,609/km2",33°48′33″N 118°09′19″W﻿ / ﻿33.8092°N 118.1553°W,"https://en.wikipedia.org//wiki/Long_Beach,_California",52 ft (16 m),UTC−08:00 (Pacific)
44,44,Virginia Beach,Virginia,450189,437994,+2.78%,244.7 sq mi,633.8 km2,"1,850/sq mi",710/km2,36°46′48″N 76°01′31″W﻿ / ﻿36.7800°N 76.0252°W,"https://en.wikipedia.org//wiki/Virginia_Beach,_Virginia",10 ft (3 m),UTC−5 (EST)
45,45,Oakland,California,429082,390724,+9.82%,55.9 sq mi,144.8 km2,"7,514/sq mi","2,901/km2",37°46′11″N 122°13′33″W﻿ / ﻿37.7698°N 122.2257°W,"https://en.wikipedia.org//wiki/Oakland,_California",43 ft (13 m),UTC−08:00 (Pacific)
46,46,Minneapolis,Minnesota,425403,382578,+11.19%,54.0 sq mi,139.9 km2,"7,660/sq mi","2,960/km2",44°57′48″N 93°16′06″W﻿ / ﻿44.9633°N 93.2683°W,https://en.wikipedia.org//wiki/Minneapolis,830 ft (264 m),UTC–6 (CST)
47,47,Tulsa,Oklahoma,400669,391906,+2.24%,196.8 sq mi,509.7 km2,"2,048/sq mi",791/km2,36°07′40″N 95°54′08″W﻿ / ﻿36.1279°N 95.9023°W,"https://en.wikipedia.org//wiki/Tulsa,_Oklahoma",722 ft (194 m),UTC−6 (CST)
48,48,Arlington,Texas,398112,365438,+8.94%,95.8 sq mi,248.1 km2,"4,100/sq mi","1,600/km2",32°42′03″N 97°07′29″W﻿ / ﻿32.7007°N 97.1247°W,"https://en.wikipedia.org//wiki/Arlington,_Texas",604 ft (184 m),UTC−6 (CST)
49,49,Tampa,Florida,392890,335709,+17.03%,113.4 sq mi,293.7 km2,"3,326/sq mi","1,284/km2",27°58′12″N 82°28′47″W﻿ / ﻿27.9701°N 82.4797°W,"https://en.wikipedia.org//wiki/Tampa,_Florida",48 ft (14.6 m),UTC−5 (EST)
50,50,New Orleans,Louisiana,391006,343829,+13.72%,169.4 sq mi,438.7 km2,"2,311/sq mi",892/km2,30°03′12″N 89°56′04″W﻿ / ﻿30.0534°N 89.9345°W,https://en.wikipedia.org//wiki/New_Orleans,−6.5 to 20 ft (−2 to 6 m),UTC−6 (CST)
51,51,Wichita,Kansas,389255,382368,+1.80%,160.4 sq mi,415.4 km2,"2,431/sq mi",939/km2,37°41′27″N 97°20′45″W﻿ / ﻿37.6907°N 97.3459°W,"https://en.wikipedia.org//wiki/Wichita,_Kansas","1,302 ft (397 m)",UTC−6 (CST)
52,52,Cleveland,Ohio,383793,396815,−3.28%,77.7 sq mi,201.2 km2,"4,965/sq mi","1,917/km2",41°28′43″N 81°40′46″W﻿ / ﻿41.4785°N 81.6794°W,https://en.wikipedia.org//wiki/Cleveland,653 ft (199 m),UTC−5 (EST)
53,53,Bakersfield,California,383579,347483,+10.39%,148.8 sq mi,385.4 km2,"2,529/sq mi",976/km2,35°19′16″N 119°01′06″W﻿ / ﻿35.3212°N 119.0183°W,"https://en.wikipedia.org//wiki/Bakersfield,_California",404 ft (123 m),UTC−8 (Pacific)
54,54,Aurora,Colorado,374114,325078,+15.08%,153.5 sq mi,397.6 km2,"2,356/sq mi",910/km2,39°41′17″N 104°41′23″W﻿ / ﻿39.6880°N 104.6897°W,"https://en.wikipedia.org//wiki/Aurora,_Colorado","5,403 ft (1,647 m)",UTC−7 (MST)
55,55,Anaheim,California,352005,336265,+4.68%,50.0 sq mi,129.5 km2,"7,021/sq mi","2,711/km2",33°51′20″N 117°45′36″W﻿ / ﻿33.8555°N 117.7601°W,"https://en.wikipedia.org//wiki/Anaheim,_California",157 ft (48 m),UTC−8 (Pacific)
56,56,Honolulu,Hawaii,347397,337256,+3.01%,60.5 sq mi,156.7 km2,"5,815/sq mi","2,245/km2",21°19′27″N 157°50′51″W﻿ / ﻿21.3243°N 157.8476°W,https://en.wikipedia.org//wiki/Honolulu,19 ft (6 m),UTC−10 (Hawaiian (HST))
57,57,Santa Ana,California,332725,324528,+2.53%,27.1 sq mi,70.2 km2,"12,333/sq mi","4,762/km2",33°44′11″N 117°52′59″W﻿ / ﻿33.7363°N 117.8830°W,"https://en.wikipedia.org//wiki/Santa_Ana,_California",115 ft (35 m),UTC−8 (Pacific)
58,58,Riverside,California,330063,303871,+8.62%,81.2 sq mi,210.3 km2,"3,999/sq mi","1,544/km2",33°56′17″N 117°23′36″W﻿ / ﻿33.9381°N 117.3932°W,"https://en.wikipedia.org//wiki/Riverside,_California",827 ft (252 m),UTC−8 (Pacific)
59,59,Corpus Christi,Texas,326554,305215,+6.99%,174.6 sq mi,452.2 km2,"1,866/sq mi",720/km2,27°45′15″N 97°10′24″W﻿ / ﻿27.7543°N 97.1734°W,"https://en.wikipedia.org//wiki/Corpus_Christi,_Texas",7 ft (2 m),UTC−6 (CST)
60,60,Lexington,Kentucky,323780,295803,+9.46%,283.6 sq mi,734.5 km2,"1,123/sq mi",434/km2,38°02′27″N 84°27′30″W﻿ / ﻿38.0407°N 84.4583°W,"https://en.wikipedia.org//wiki/Lexington,_Kentucky",978 ft (298 m),UTC−5 (EST)
61,61,Stockton,California,311178,291707,+6.67%,61.7 sq mi,159.8 km2,"4,977/sq mi","1,922/km2",37°58′35″N 121°18′48″W﻿ / ﻿37.9763°N 121.3133°W,"https://en.wikipedia.org//wiki/Stockton,_California",13 ft (4 m),UTC−8 (Pacific)
62,62,Henderson,Nevada,310390,257729,+20.43%,104.7 sq mi,271.2 km2,"2,798/sq mi","1,080/km2",36°00′35″N 115°02′09″W﻿ / ﻿36.0097°N 115.0357°W,"https://en.wikipedia.org//wiki/Henderson,_Nevada","1,864 ft (569 m)",UTC−8 (PST)
63,63,Saint Paul,Minnesota,307695,285068,+7.94%,52.0 sq mi,134.7 km2,"5,815/sq mi","2,245/km2",44°56′56″N 93°06′15″W﻿ / ﻿44.9489°N 93.1041°W,"https://en.wikipedia.org//wiki/Saint_Paul,_Minnesota",795 ft (214 m),UTC−6 (CST)
64,64,St. Louis,Missouri,302838,319294,−5.15%,62.0 sq mi,160.6 km2,"5,023/sq mi","1,939/km2",38°38′09″N 90°14′41″W﻿ / ﻿38.6357°N 90.2446°W,https://en.wikipedia.org//wiki/St._Louis,466 ft (142 m),UTC−6 (CST)
65,65,Cincinnati,Ohio,302605,296943,+1.91%,77.4 sq mi,200.5 km2,"3,860/sq mi","1,490/km2",39°08′25″N 84°30′21″W﻿ / ﻿39.1402°N 84.5058°W,https://en.wikipedia.org//wiki/Cincinnati,147 m (482 ft),UTC−5 (EST)
66,66,Pittsburgh,Pennsylvania,301048,305704,−1.52%,55.4 sq mi,143.5 km2,"5,481/sq mi","2,116/km2",40°26′23″N 79°58′36″W﻿ / ﻿40.4398°N 79.9766°W,https://en.wikipedia.org//wiki/Pittsburgh,"1,370 ft (420 m)",UTC−5 (Eastern Standard Time)
67,67,Greensboro,North Carolina,294722,269666,+9.29%,128.3 sq mi,332.3 km2,"2,237/sq mi",864/km2,36°05′42″N 79°49′37″W﻿ / ﻿36.0951°N 79.8270°W,"https://en.wikipedia.org//wiki/Greensboro,_North_Carolina",897 ft (272 m),UTC−5 (EST)
68,68,Anchorage,Alaska,291538,291826,−0.10%,"1,706.6 sq mi","4,420.1 km2",175/sq mi,68/km2,61°10′27″N 149°17′03″W﻿ / ﻿61.1743°N 149.2843°W,"https://en.wikipedia.org//wiki/Anchorage,_Alaska",102 ft (31 m),UTC-9 (AKST)
69,69,Plano,Texas,288061,259841,+10.86%,71.7 sq mi,185.7 km2,"3,990/sq mi","1,540/km2",33°03′03″N 96°44′52″W﻿ / ﻿33.0508°N 96.7479°W,"https://en.wikipedia.org//wiki/Plano,_Texas",666 ft (203 m),UTC−6 (CST)
70,70,Lincoln,Nebraska,287401,258379,+11.23%,92.1 sq mi,238.5 km2,"3,044/sq mi","1,175/km2",40°48′38″N 96°40′49″W﻿ / ﻿40.8105°N 96.6803°W,"https://en.wikipedia.org//wiki/Lincoln,_Nebraska","1,176 ft (358 m)",UTC-6 (CST)
71,71,Orlando,Florida,285713,238300,+19.90%,105.2 sq mi,272.5 km2,"2,635/sq mi","1,017/km2",28°25′00″N 81°16′25″W﻿ / ﻿28.4166°N 81.2736°W,"https://en.wikipedia.org//wiki/Orlando,_Florida",25 m (82 ft),UTC−5 (Eastern (EST))
72,72,Irvine,California,282572,212375,+33.05%,65.6 sq mi,169.9 km2,"4,057/sq mi","1,566/km2",33°40′42″N 117°46′17″W﻿ / ﻿33.6784°N 117.7713°W,"https://en.wikipedia.org//wiki/Irvine,_California",56 ft (17 m),UTC−8 (Pacific)
73,73,Newark,New Jersey,282090,277140,+1.79%,24.1 sq mi,62.4 km2,"11,691/sq mi","4,514/km2",40°43′27″N 74°10′21″W﻿ / ﻿40.7242°N 74.1726°W,"https://en.wikipedia.org//wiki/Newark,_New_Jersey",13 ft (4 m),UTC−5 (Eastern (EST))
74,74,Toledo,Ohio,274975,287208,−4.26%,80.7 sq mi,209.0 km2,"3,451/sq mi","1,332/km2",41°39′51″N 83°34′55″W﻿ / ﻿41.6641°N 83.5819°W,"https://en.wikipedia.org//wiki/Toledo,_Ohio",614 ft (187 m),UTC−5 (EST)
75,75,Durham,North Carolina,274291,228330,+20.13%,109.8 sq mi,284.4 km2,"2,395/sq mi",925/km2,35°58′52″N 78°54′10″W﻿ / ﻿35.9811°N 78.9029°W,"https://en.wikipedia.org//wiki/Durham,_North_Carolina",404 ft (123 m),UTC−5 (EST)
76,76,Chula Vista,California,271651,243916,+11.37%,49.6 sq mi,128.5 km2,"5,387/sq mi","2,080/km2",32°37′40″N 117°00′55″W﻿ / ﻿32.6277°N 117.0152°W,"https://en.wikipedia.org//wiki/Chula_Vista,_California",66 ft (20 m),UTC-8 (PST)
77,77,Fort Wayne,Indiana,267633,253691,+5.50%,110.6 sq mi,286.5 km2,"2,391/sq mi",923/km2,41°05′18″N 85°08′38″W﻿ / ﻿41.0882°N 85.1439°W,"https://en.wikipedia.org//wiki/Fort_Wayne,_Indiana",810 ft (247 m),UTC−05:00 (EST)
78,78,Jersey City,New Jersey,265549,247597,+7.25%,14.8 sq mi,38.3 km2,"17,848/sq mi","6,891/km2",40°42′41″N 74°03′53″W﻿ / ﻿40.7114°N 74.0648°W,"https://en.wikipedia.org//wiki/Jersey_City,_New_Jersey",20 ft (6 m),UTC−5 (EST)
